,Company,Date,Sentiment,Total Mentions
584,S&P500,2019-07-14,0,0
585,GME,2019-07-15,0,0
586,TSLA,2019-07-15,4.763199999999999,42
587,S&P500,2019-07-15,0,0
588,GME,2019-07-16,0,0
589,TSLA,2019-07-16,0.3336000000000002,13
590,S&P500,2019-07-16,0,0
591,GME,2019-07-17,0,0
592,TSLA,2019-07-17,0.0,1
593,S&P500,2019-07-17,0,0
594,GME,2019-07-18,0,0
595,TSLA,2019-07-18,0.4939,1
596,S&P500,2019-07-18,0,0
597,GME,2019-07-19,0,0
598,TSLA,2019-07-19,3.5558,10
599,S&P500,2019-07-19,0,0
600,GME,2019-07-20,0,0
601,TSLA,2019-07-20,0,0
602,S&P500,2019-07-20,0,0
603,GME,2019-07-21,0,0
604,TSLA,2019-07-21,0,0
605,S&P500,2019-07-21,0,0
606,GME,2019-07-22,0,0
607,TSLA,2019-07-22,-0.5495,3
608,S&P500,2019-07-22,0,0
609,GME,2019-07-23,0,0
610,TSLA,2019-07-23,3.5113000000000003,16
611,S&P500,2019-07-23,0,0
612,GME,2019-07-24,0,0
613,TSLA,2019-07-24,8.6308,36
614,S&P500,2019-07-24,0,0
615,GME,2019-07-25,0,0
616,TSLA,2019-07-25,4.479999999999999,40
617,S&P500,2019-07-25,0,0
618,GME,2019-07-26,0,0
619,TSLA,2019-07-26,-0.5456999999999999,9
620,S&P500,2019-07-26,0,0
621,GME,2019-07-27,0,0
622,TSLA,2019-07-27,0,0
623,S&P500,2019-07-27,0,0
624,GME,2019-07-28,0,0
625,TSLA,2019-07-28,0,0
626,S&P500,2019-07-28,0,0
627,GME,2019-07-29,0,0
628,TSLA,2019-07-29,0.8338000000000001,6
629,S&P500,2019-07-29,0,0
630,GME,2019-07-30,0,0
631,TSLA,2019-07-30,0.3818,2
632,S&P500,2019-07-30,0,0
633,GME,2019-07-31,0,0
634,TSLA,2019-07-31,0,0
635,S&P500,2019-07-31,0,0
636,GME,2019-08-01,0,0
637,TSLA,2019-08-01,2.6534000000000004,12
638,S&P500,2019-08-01,0,0
639,GME,2019-08-02,0,0
640,TSLA,2019-08-02,0,0
641,S&P500,2019-08-02,0,0
642,GME,2019-08-03,0,0
643,TSLA,2019-08-03,0,0
644,S&P500,2019-08-03,0,0
645,GME,2019-08-04,0,0
646,TSLA,2019-08-04,0.3612,1
647,S&P500,2019-08-04,0,0
648,GME,2019-08-05,0,0
649,TSLA,2019-08-05,0.1255,1
650,S&P500,2019-08-05,0,0
651,GME,2019-08-06,0,0
652,TSLA,2019-08-06,1.8001,4
653,S&P500,2019-08-06,0,0
654,GME,2019-08-07,0,0
655,TSLA,2019-08-07,0.0009000000000000674,9
656,S&P500,2019-08-07,0,0
657,GME,2019-08-08,0,0
658,TSLA,2019-08-08,6.7513000000000005,25
659,S&P500,2019-08-08,0,0
660,GME,2019-08-09,0,0
661,TSLA,2019-08-09,-0.0025000000000000577,2
662,S&P500,2019-08-09,0,0
663,GME,2019-08-10,0,0
664,TSLA,2019-08-10,0,0
665,S&P500,2019-08-10,0,0
666,GME,2019-08-11,0,0
667,TSLA,2019-08-11,0.3973,2
668,S&P500,2019-08-11,0,0
669,GME,2019-08-12,0,0
670,TSLA,2019-08-12,1.3758000000000001,7
671,S&P500,2019-08-12,0,0
672,GME,2019-08-13,0,0
673,TSLA,2019-08-13,0.7022999999999999,3
674,S&P500,2019-08-13,0,0
675,GME,2019-08-14,0,0
676,TSLA,2019-08-14,0,0
677,S&P500,2019-08-14,0,0
678,GME,2019-08-15,0,0
679,TSLA,2019-08-15,0,0
680,S&P500,2019-08-15,0,0
681,GME,2019-08-16,0,0
682,TSLA,2019-08-16,0.1779,1
683,S&P500,2019-08-16,0,0
684,GME,2019-08-17,0,0
685,TSLA,2019-08-17,0.7003,1
686,S&P500,2019-08-17,0,0
687,GME,2019-08-18,0,0
688,TSLA,2019-08-18,0,0
689,S&P500,2019-08-18,0,0
690,GME,2019-08-19,0,0
691,TSLA,2019-08-19,0,0
692,S&P500,2019-08-19,0,0
693,GME,2019-08-20,0,0
694,TSLA,2019-08-20,-1.7402000000000004,30
695,S&P500,2019-08-20,0,0
696,GME,2019-08-21,0,0
697,TSLA,2019-08-21,-2.3556999999999997,19
698,S&P500,2019-08-21,0,0
699,GME,2019-08-22,1.5032999999999999,5
700,TSLA,2019-08-22,2.8558,19
701,S&P500,2019-08-22,0,0
702,GME,2019-08-23,0,0
703,TSLA,2019-08-23,-0.46540000000000037,18
704,S&P500,2019-08-23,0,0
705,GME,2019-08-24,0,0
706,TSLA,2019-08-24,1.3394999999999997,22
707,S&P500,2019-08-24,0,0
708,GME,2019-08-25,0,0
709,TSLA,2019-08-25,0,0
710,S&P500,2019-08-25,0,0
711,GME,2019-08-26,0,0
712,TSLA,2019-08-26,0.344,3
713,S&P500,2019-08-26,0,0
714,GME,2019-08-27,0,0
715,TSLA,2019-08-27,0,0
716,S&P500,2019-08-27,0,0
